step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,1.77601,0.58735,,
228,1.72381,0.59675,,
229,2.00389,0.52035,,
230,1.81587,0.55278,,
231,1.55569,0.61592,,
232,1.64701,0.59568,,
233,1.74721,0.57143,,
234,1.70268,0.56891,,
235,1.88746,0.56234,,
236,1.74805,0.55431,,
237,1.55621,0.6309,,
238,1.84531,0.54413,,
239,1.58795,0.60242,,
240,1.57283,0.61889,,
241,1.55893,0.62933,,
242,1.90088,0.54826,,
243,1.9939,0.5197,,
244,2.08958,0.50974,,
245,1.80654,0.56616,,
246,1.75173,0.55607,,
247,1.74835,0.57418,,
248,2.34271,0.45813,,
249,1.9448,0.52563,,
250,1.78135,0.58473,,
251,1.98033,0.53619,,
252,2.01869,0.53021,,
253,2.00883,0.53921,,
254,1.7302,0.59104,,
255,1.73761,0.55956,,
256,2.0619,0.51245,,
257,1.8332,0.5761,,
258,1.89857,0.53851,,
259,1.61517,0.60521,,
260,1.86364,0.55286,,
261,2.00567,0.51415,,
262,2.22867,0.47526,,
263,1.73735,0.55185,,
264,1.84659,0.57196,,
265,1.66959,0.61058,,
266,1.86585,0.53506,,
267,1.85648,0.54275,,
268,2.01498,0.52122,,
269,2.07666,0.49371,,
270,1.74449,0.56423,,
271,1.92447,0.54602,,
272,1.89851,0.52847,,
273,1.45272,0.63681,,
274,1.34223,0.68917,,
275,1.34034,0.66165,,
276,2.20734,0.47589,,
277,1.93652,0.54444,,
278,1.74273,0.55036,,
279,1.87958,0.53787,,
280,2.24919,0.47094,,
281,1.88995,0.5401,,
282,1.50427,0.63574,,
283,1.94874,0.52897,,
284,1.84073,0.55476,,
285,1.81249,0.53872,,
286,1.67899,0.58524,,
287,1.62317,0.60646,,
288,1.83942,0.55981,,
289,1.7869,0.56323,,
290,1.73513,0.56108,,
291,1.9389,0.53593,,
292,1.94178,0.53533,,
293,2.10032,0.52326,,
294,1.89041,0.54772,,
295,1.84811,0.53085,,
296,1.52379,0.63421,,
297,2.13827,0.48549,,
298,1.99101,0.53806,,
299,1.80834,0.55003,,
300,1.9769,0.52234,,
301,2.09262,0.53209,,
302,1.7791,0.56998,,
303,2.01102,0.5124,,
304,1.56364,0.64703,,
305,1.72778,0.55663,,
306,1.367,0.66284,,
307,1.96898,0.53021,,
308,1.94377,0.51056,,
309,1.43848,0.64686,,
310,1.44371,0.65186,,
311,2.05095,0.52188,,
312,1.64585,0.59375,,
313,1.49308,0.61368,,
314,1.65185,0.57614,,
315,1.8381,0.55268,,
316,1.92302,0.51222,,
317,2.35048,0.48793,,
318,1.80103,0.5732,,
319,1.643,0.57751,,
320,1.87419,0.5507,,
321,1.80487,0.56597,,
322,1.80232,0.54674,,
323,1.98895,0.54286,,
324,1.62523,0.6133,,
325,1.95244,0.52731,,
326,1.44384,0.62978,,
327,1.76135,0.58029,,
328,1.9184,0.53899,,
329,2.02322,0.51068,,
330,1.67334,0.59202,,
331,1.98569,0.51627,,
332,1.8577,0.54663,,
333,1.94314,0.53443,,
334,1.83816,0.56978,,
335,1.68218,0.58321,,
336,2.00902,0.53322,,
337,1.84859,0.55795,,
338,1.88831,0.53021,,
339,1.66323,0.57538,,
340,1.87079,0.53993,,
341,1.51347,0.61722,,
342,1.80563,0.581,,
343,1.67494,0.57955,,
344,1.59188,0.60401,,
345,1.85976,0.54958,,
346,1.79103,0.57074,,
347,1.70277,0.58546,,
348,2.26695,0.48035,,
349,1.61291,0.61483,,
350,1.48847,0.62544,,
351,2.12614,0.51797,,
352,1.84962,0.53082,,
353,1.70451,0.58065,,
354,1.1762,0.71807,,
355,1.78105,0.5588,,
356,2.08845,0.50081,,
357,2.07928,0.5287,,
358,1.78497,0.57215,,
359,1.71765,0.57173,,
360,1.70567,0.58976,,
361,2.10741,0.50474,,
362,1.66966,0.60061,,
363,1.95296,0.53303,,
364,1.89367,0.53619,,
365,1.93653,0.55192,,
366,1.47919,0.63536,,
367,2.09457,0.49956,,
368,1.9244,0.54045,,
369,1.83698,0.54354,,
370,2.14703,0.4833,,
371,2.07585,0.51194,,
372,2.0789,0.50976,,
373,1.73829,0.5802,,
374,1.2933,0.68796,,
375,1.48653,0.63612,,
376,1.86975,0.54939,,
377,1.96338,0.52778,,
378,1.77825,0.55133,,
379,1.83458,0.55,,
380,1.60939,0.60805,,
381,1.83982,0.55636,,
382,2.04128,0.50064,,
383,1.76736,0.58579,,
384,1.72624,0.57478,,
385,2.17969,0.47706,,
386,1.79673,0.58071,,
387,1.52054,0.63031,,
388,1.73139,0.56883,,
389,1.89947,0.53928,,
390,1.7898,0.56821,,
391,1.66769,0.58481,,
392,1.97137,0.53815,,
393,1.70038,0.57009,,
394,1.60148,0.59911,,
395,1.92153,0.53879,,
396,2.01779,0.52928,,
397,1.86105,0.5434,,
398,1.81299,0.56325,,
399,1.57037,0.62027,,
400,1.96465,0.52425,,
401,1.39936,0.67225,,
402,1.97567,0.54007,,
403,2.00712,0.5202,,
404,1.89046,0.52821,,
405,1.88818,0.52329,,
406,1.81595,0.57056,,
407,1.84101,0.55596,,
408,1.57901,0.62545,,
409,1.78543,0.54811,,
410,1.85109,0.55048,,
411,1.44305,0.63531,,
412,1.88804,0.54226,,
413,2.00579,0.52257,,
414,1.80586,0.57203,,
415,1.46108,0.636,,
416,1.73263,0.56425,,
417,1.40418,0.62375,,
418,1.95068,0.53177,,
419,1.87705,0.55293,,
420,1.75192,0.58867,,
421,1.78705,0.56044,,
422,1.70094,0.60445,,
423,1.84307,0.54694,,
424,1.86622,0.54386,,
425,1.48528,0.64121,,
426,1.5361,0.63852,,
427,1.97202,0.53997,,
428,1.94865,0.55458,,
429,2.08153,0.52251,,
430,1.79613,0.55025,,
431,2.0807,0.51707,,
432,1.82725,0.55556,,
433,1.68094,0.57995,,
434,1.93525,0.54091,,
435,1.84759,0.56217,,
436,2.05145,0.50555,,
437,1.79662,0.5501,,
438,1.77671,0.55263,,
439,1.94264,0.53144,,
440,1.84862,0.5555,,
441,1.81841,0.57169,,
442,1.65328,0.61388,,
443,1.59105,0.59509,,
444,1.90689,0.53632,,
445,2.02068,0.52143,,
446,1.79011,0.56527,,
447,1.44751,0.62463,,
448,2.19268,0.49154,,
449,1.51375,0.60992,,
450,1.8757,0.56488,,
451,1.76435,0.56327,,
452,1.63987,0.5968,,
453,1.6949,0.58218,,
454,1.65016,0.57078,,
455,1.71975,0.57224,,
456,1.55157,0.6033,,
457,1.97725,0.55382,,
458,1.78097,0.56266,,
459,1.34024,0.68582,,
460,1.77192,0.57459,,
461,1.73398,0.5707,,
462,1.7336,0.58082,,
463,1.85427,0.5276,,
464,1.6977,0.57703,,
465,2.21868,0.48958,,
466,1.72481,0.57737,,
467,1.87775,0.54447,,
468,1.84993,0.57224,,
469,1.62929,0.59328,,
470,1.34777,0.66605,,
471,1.96375,0.53634,,
472,1.92466,0.51169,,
473,1.36914,0.66403,,
474,1.74075,0.55765,,
475,2.03528,0.51795,,
476,1.37098,0.67345,,
477,2.078,0.51724,,
478,1.78714,0.57506,,
479,1.34321,0.66831,,
480,2.00042,0.51954,,
481,2.00815,0.5317,,
482,1.79755,0.55988,,
483,1.94399,0.54019,,
484,1.9985,0.53411,,
485,1.5114,0.63144,,
486,1.85498,0.5551,,
487,1.79729,0.58115,,
488,2.03833,0.52198,,
489,2.05429,0.51869,,
490,1.65791,0.61045,,
491,2.06594,0.52101,,
492,1.74061,0.58426,,
493,1.9668,0.53205,,
494,1.81653,0.55959,,
495,1.29917,0.69043,,
496,1.89341,0.54826,,
497,1.40681,0.65433,,
498,1.53499,0.62745,,
499,1.73004,0.56166,,
500,1.61992,0.60325,,
501,1.86807,0.55714,,
502,1.64643,0.602,,
503,1.64012,0.58619,,
504,1.20036,0.72779,,
505,1.73389,0.58591,,
506,1.91315,0.5252,,
507,1.75935,0.58183,,
508,1.53757,0.63557,,
509,1.58115,0.61589,,
510,1.78936,0.55762,,
511,1.8661,0.55762,,
512,2.12428,0.49833,,
513,1.79675,0.5541,,
514,1.85006,0.5512,,
515,1.73918,0.58781,,
516,1.87529,0.54147,,
517,1.80672,0.56497,,
518,1.81228,0.55859,,
519,1.39223,0.66172,,
520,1.96754,0.5348,,
521,1.94663,0.51456,,
522,1.62148,0.58464,,
523,1.65406,0.58969,,
524,1.55621,0.61171,,
525,1.61601,0.60212,,
526,1.69558,0.58253,,
527,1.7728,0.56495,,
528,1.43583,0.64229,,
529,2.14223,0.50498,,
